TRAINING RESULTS
==================================================

Final Metrics:
  Final Train Loss:     0.4533
  Final Val Loss:       0.6453
  Final Train IoU:      0.5099
  Final Val IoU:        0.4121
  Final Train Dice:     0.6275
  Final Val Dice:       0.5643
  Final Train Accuracy: 0.8168
  Final Val Accuracy:   0.8155
==================================================

Best Results:
  Best Val IoU:      0.4121 (Epoch 78)
  Best Val Dice:     0.5675 (Epoch 75)
  Best Val Accuracy: 0.8155 (Epoch 78)
  Lowest Val Loss:   0.6408 (Epoch 77)
==================================================

Per-Epoch History:
----------------------------------------------------------------------------------------------------
Epoch    Train Loss   Val Loss     Train IoU    Val IoU      Train Dice   Val Dice     Train Acc    Val Acc     
66       0.4619       0.6447       0.5018       0.4070       0.6191       0.5630       0.8098       0.8097      
67       0.4654       0.6537       0.5025       0.4015       0.6195       0.5539       0.8119       0.8125      
68       0.4662       0.6513       0.5027       0.4060       0.6200       0.5631       0.8136       0.8113      
69       0.4603       0.6493       0.5014       0.4022       0.6193       0.5573       0.8096       0.8083      
70       0.4625       0.6510       0.5014       0.4042       0.6178       0.5608       0.8136       0.8128      
71       0.4546       0.6440       0.5078       0.4084       0.6258       0.5660       0.8128       0.8104      
72       0.4569       0.6508       0.5076       0.4062       0.6263       0.5607       0.8125       0.8111      
73       0.4535       0.6443       0.5045       0.4086       0.6224       0.5666       0.8138       0.8142      
74       0.4542       0.6466       0.5048       0.4067       0.6229       0.5614       0.8127       0.8120      
75       0.4535       0.6439       0.5078       0.4098       0.6276       0.5675       0.8126       0.8133      
76       0.4604       0.6448       0.5085       0.4086       0.6269       0.5642       0.8125       0.8107      
77       0.4506       0.6408       0.5084       0.4089       0.6264       0.5627       0.8142       0.8124      
78       0.4533       0.6453       0.5099       0.4121       0.6275       0.5643       0.8168       0.8155      
